id,timestamp,address,centroid_lat,centroid_lon,polygon_points,total_area_m2,usable_area_m2,shadow_fraction,panels_count,panel_capacity_w,system_capacity_kwp,efficiency_score,pitch_degrees,orientation_degrees,orientation_label,pitch_confidence,orientation_confidence,detection_method,annual_energy_kwh,co2_saved_kg_year,co2_saved_tons_year,trees_equivalent,gross_cost_inr,subsidy_inr,net_cost_inr,annual_savings_inr,payback_years,lifetime_savings_inr,cost_category,peak_sun_hours,tilt_factor,orientation_factor,analysis_method
d5ce99b6-e7fe-482f-9926-1a2cae9b60b5,2026-04-22T12:54:35.675558+00:00,"Test: Pune, Maharashtra",18.5204028,73.8566958,"[[18.520804, 73.856274], [18.519998, 73.856274], [18.520001, 73.857113], [18.520804, 73.857124]]",7945.51,6753.68,0.15,3165,400,1266.0,85.3,20.0,270.7,West,35,88,grabcut,1166232,956310.2,956.31,45538,50640000,0,50640000,9329856,5.4,168034766,industrial,1880,0.9926,0.6582,fallback_typical
7bfafb25-ab9f-4729-b4c7-1c7a05997ef4,2026-04-22T13:01:21.051675+00:00,,21.3528067,74.8841715,"[[21.352692, 74.883221], [21.352252, 74.883923], [21.352249, 74.884382], [21.352477, 74.884581], [21.352427, 74.88483], [21.352794, 74.88508], [21.353064, 74.884991], [21.353289, 74.884605], [21.353296, 74.883612]]",16349.75,16349.75,0.0,7663,400,3065.2,95.5,20.0,213.0,South-West,35,88,grabcut,3959014,3246391.5,3246.39,154590,122608000,0,122608000,31672112,3.9,619728397,industrial,1830,0.9932,0.9475,fallback_typical
346f4907-b6d3-4fc7-805e-b6817a895e22,2026-04-23T15:26:03.251817+00:00,,21.3527833,74.884043,"[[21.353209, 74.883835], [21.352602, 74.883701], [21.352562, 74.883612], [21.352454, 74.883926], [21.352489, 74.884294], [21.353051, 74.88442], [21.353101, 74.883894]]",4326.07,4326.07,0.0,2027,400,810.8,88.0,20.0,280.9,West,35,88,grabcut,656853,538619.5,538.62,25648,32432000,0,32432000,5254824,6.2,90731466,industrial,1830,0.9932,0.5943,fallback_typical
